,Id,Application,Parent Product,Setup Name,Task Category,Value Added Product,Task Type,Task ID,Task Key,Task Name,Task Desc,Effort Days,Vary By Client Size?,Prerequisites,Task Instructions,Additional Information,Task Owners,Distribution list,Ticket Type,Sample Ticket Number,Input to tickets,Helpful Links
0,1,BPS,BPS Core Setup,Core BPS Environment Setup,Admin,No,Project Management,BPS1,BPS-BPS-01,Review Contract,"The Conversion Manager has to review the Signed contract, before setting up the Environment.",2-5,Yes,The Contract has to be signed by the client. ,"Review the signed copy of the Contract and create a project plan. identify the below information from SOW/Contract
What all applications are in scope?
What all VAPS are in scope?
How many trades will the client be processing,
Client positions, balances and accounts?
Any special request, Is there any predetermined production stream the client opted for?
High level business requirement like Instrument types, types of accounts etc.",,Conversions Team,NA,NA,NA,NA,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
1,2,BPS,BPS Core Setup,Core BPS Environment Setup,Admin,No,Project Management,BPS2,BPS-BPS-02,Official notice on Environment setup,Conversion Manager to release an official Notice/Plan for the ENV setup.,1,No,"Contract has to be reviewed by the Conversion Manager, and finalise the scope of the project","Notify the conversion team, product teams and development via an email briefing them about onboarding a new client with the list of impacted application, regions, relevant volumes. ",,Conversion Manager,NA,Email,NA,NA,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
2,3,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Core Setup,BPS3,BPS-BPS-03,Client # Assignment,Request Finance team to assign a new client #. Open up a Client assignment request through One BR portal.,2,No,"Prerequisites steps to create a ticket :

1. The Client Contract has to be signed and Reviewed.
2. Get the Basic information like Client Name, Address, Business unit, Client Type, Primary Client Rep and Account Manager details.
3. Request finance to confirm if this client number has been used in the past.","Incase of a New client or reusing an existing client 
Open an One BR ticket under Client Assignment Request. The SOW should be attached to this request.
To reuse an existing client # just mention the client ID the you want to reassign to the current conversion.
If an old client number is being re-used, check with Conversions team and confirm that the old client is not present on the TRAC header, there are no B1s  referencing to that old client, all activity (trades, positions and balances) are removed from the old client number. 
Sample Ticket for Reference:
	REQ000000767248
ITSM Home link:  https://brhelix-dwp.onbmc.com/dwp/app/
",,Finance Team,FINANCE <Finance1@broadridge.com>,Service Request - One BR,REQ000000722378,"Input required	              Sample Input
M-Client name   	      :BMO Capital Markets corp.
M-Client Address	         :CHICAGO, IL 60690, US
M-Business Unit	         :BPS
M-Client Type	                        :Customer Test client
M-Primary Client Service Rep :TBD
M-Account Manager	     :Scott Hargrove
M-Priority	             :High
M-Division	             :GTO
M-Sub BU	             :Capital Markets
M-Product Bundle	     :Bps Applications
M-Company Type	             :Customer
M-Project related Document   :Attach the Contract or SOW",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
3,4,BPS,BPS Core Setup,Core BPS Environment Setup,Admin,No,Project Management,BPS4,BPS-BPS-04,Project ID and SharePoint Assignment,Request to get the Project ID and Share point access for new client. ,3,No,Get the Client Number and Client name details,"Project Manager should open a Metis project request  in Metis portal. Fill up the required details and submit.
Metis portal Link: http://metis.broadridge.net:208/#/ProjectRequests 
Sample Ticket:
 Search for CNV00352 to see the Sample Project request.
The Mandatory fields are marked with an asterisk '*' in the request form
",,ITSM Remedy/Metis team,"ITSM Development <ITSMDevelopment@broadridge.com>
Metis_ServiceAccounts <Metis_ServiceAccounts@broadridge.com>",Metis Project Request,CNV00352,The Mandatory fields are marked with an asterisk '*' in the request form,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
4,5,BPS,BPS Core Setup,Core BPS Environment Setup,Admin,No,Project Management,BPS5,BPS-BPS-05,Publish project details,"Communicate the project details to Conversion team and product teams.
Publish the project plan and details to the respective teams.",1,No,Project plan should be ready,"Send an email to Conversion team and Product teams with the client#, name, metrics(position, balances, trade volumes, projected growth), project ID and share point location.",,Conversion Manager,NA,Email,,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
5,6,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Core Setup,BPS6,BPS-BPS-06,Add new client to CCT,Open an ITSM Change Management request to add the new client to Mainframe CCT table. This is required to setup the client in a BPS processing stream.,1,No,"Get the basic information like client number, client name and stream","Raise an ITSM Change Management ticket  to get the Client added to CCT table. 
Link to https://brhelix.onbmc.com/arsys/
Sample Ticket:
Refer to CRQ000001257294 for sample
",This is done over a weekend by the OSYA Team and has a lead time of minimum 5 days,Online Systems Assurance team,"Group, OSYA <Group_OSYA@broadridge.com>",ITSM CRQ,CRQ000001294484,"Input required	              Sample Input
M-Client number               :096
M-Client name                 :BR Test Client
M-Client Address              :Newark
M-Client Geographical region  :US
M-Client online region        :QA,PROD
O-Project related Document   :",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
6,7,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Configuration setup,BPS7,BPS-BPS-07,Initial B1 Setup,Add the B1s for new client or clone the shell client,1,Yes,"1. Need a valid Client number
2. Identify a Shell client to clone","1. Modify the Control card based on the B1 Layout and run the offline B1EDIT report using sample job from ""HAJASTI.A.PDS(B1EDITP2)"".
2. Send the Edit report to B1/Cardlib Updates <B1CardlibUpdates@broadridge.com> to update the B1s
Refer to the below dataset for sample cards and JCL Location:
T.TMPSPS.SAMPLE.B1UPDT","QA B1 Updates need to be submitted before 3PM EST to be processed on the same day.
B1 Updates in production need to be submitted before 1:30 PM EST to be processed on the same day. And they can be verified post 3PM EST.",B1Cardlib team,B1/Cardlib Updates <B1CardlibUpdates@broadridge.com>,Email,,,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
7,8,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Entitlements setup,BPS8,BPS-BPS-08,Setup Admin ID and IDMS security ID,Open a OneBR ticket to create an Admin ID and IDMS Security ID.,5,No,"1. Client Number should be created.
2. Client to be present in T and Q stream.","Assign a resource to be an IDM Admin, this will allow the resource to create user IDs and assign entitlements.
Identify if the client is federated or non-federated.
Open a One BR ticket under Client Identity and Access request category to establish the IDMS Admin ID for newly added Client.
One BR link: 
https://brhelix-dwp.onbmc.com/dwp/app/",,IDM team,IdentityManager (IDM) <IDM@broadridge.com>,One BR,60283913,"Input required	              Sample Input
M-Client number: 096
M-Client name:BR Test Client
M-Client online region:QA,Prod
M-Associate IDs : 000000
M-Associate Mail ID: XXXX.XXXX@BRoadridge.com
M-Division : GTO
M-Business Unit: GTO
Summary: IDM configuration for XXX client in QA/PROD/UAT region 
Description: Mention the Configuration required and for which role(like GFW, Ops console etc.)",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
8,9,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Infrastructure setup,BPS9,BPS-BPS-09,Request Datacom Project,"Open a project for NSD team to begin working with client to order necessary connectivity lines, VPN, and terminal/printer assignments.",30 - 90,No, Contract is signed.,"1. Account manager, Service Guardian or Conversion Lead connects with Network Provisioning team and schedules a call with Client. 
2. Then Network team creates a proposal and is sent to account manager to send it to client. 
3. Client reviews it internally and signs it and sends it back to BR (account manager). 
4. Once the signed proposal is received. 
5. Account manager or SG will schedule a call with Client, Kyndryl, AT&T and Network Provisioning team to gather all the information as per the network connection that is opted and in the associated template.
6. Kyndryl will provide an SOW to BR based on the discussion with client.
7. This SOW is signed off and reviewed by Finance team and Mgmt.
8. Then Kyndryl will raise required tickets to procure circuits and equipment. 
9. It takes anywhere from 60 -90 days to deliver and install this at the client site.
10. Then WAN testing happens which is done for one week.
11. Overall it takes 2 -3 weeks to complete the testing and ensure network is stable post the delivery of circuit and equipment.
","VPN connection takes around 30 days.
Client Owned network takes around 60 days
WAN/MPLS takes around 90 days including circuit and router procurement.","BFS WAN, Network Solutions Provisioning","
Group, BFS WAN <BFS.WAN@broadridge.com>
networksolutionsprovisioning@broadridge.com",Email,,Refer to Helpful links for more information on the inputs to Firewall change request template,https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
9,10,BPS,BPS Core Setup,Core BPS Environment Setup,Environment Setup,No,Configuration setup,,BPS-BPS-10,Open Firewall Request,Open up a firewall request to enable the connectivity,10,No,"A VPN, WAN or MLPS connection should be established",Once the network is in place get the details attached in the Firewall change request template form and open up a firewall request through ITSM. Please follow the helpful links for input template.,,Global Network Engineering,Global Network Engineering <GlobalNetworkEngineering@broadridge.com>,ITSM,REQ000000794809,"Source Server and IP Address
Destination source and IP Address",https://broadridge.sharepoint.com/:f:/r/sites/GTO-PMO/OnboardingAI/Onboarding Setup Assist/BPS Environment Setup?csf=1&web=1&e=FnMn5d
